run_date,target_date,lead,tmedmin,tmedmax,t50max_lo,t50max_hi,t50min_lo,t50min_hi,t100max_lo,t100max_hi,t100min_lo,t100min_hi,pr,rd,rl,rh
2016-03-06,2016-03-06,0,0.2,2.3,2.3,2.3,-0.2,0.2,2.0,2.7,-0.8,0.8,1,,1.0,1.2
2016-03-06,2016-03-07,1,0.0,3.7,3.3,3.7,-0.3,0.3,2.7,4.3,-0.7,1.0,1,,3.6,5.3
2016-03-06,2016-03-08,2,-0.3,4.3,3.7,4.7,-2.2,0.7,2.7,5.8,-4.0,2.3,2,,0.0,4.9
2016-03-06,2016-03-09,3,-1.3,4.0,3.3,4.7,-3.6,0.3,2.0,5.8,-6.7,1.3,2,,0.7,6.3
2016-03-06,2016-03-10,4,-2.6,3.3,3.0,3.7,-4.6,-0.3,1.5,5.0,-10.1,2.8,2,,0.0,2.0
2016-03-06,2016-03-11,5,-3.0,3.2,2.5,3.8,-7.0,-0.8,0.7,5.0,-10.8,1.2,2,,1.0,3.0
2016-03-06,2016-03-12,6,-0.2,3.7,3.0,4.3,-1.2,0.5,2.0,7.3,-8.0,2.2,2,,1.1,4.5
2016-03-06,2016-03-13,7,-0.8,4.0,3.3,4.7,-3.5,0.0,0.7,7.8,-12.3,1.7,3,,0.0,3.2
2016-03-06,2016-03-14,8,-2.0,4.0,3.0,5.0,-4.0,0.2,0.7,7.8,-14.1,1.7,3,,0.0,2.6
2016-03-06,2016-03-15,9,-2.0,2.7,0.7,4.0,-4.8,0.0,-4.3,9.5,-10.0,2.7,3,,0.0,1.2
2016-03-06,2016-03-16,10,-3.7,2.7,0.3,4.3,-6.3,-1.7,-4.5,7.7,-11.8,1.3,3,,0.0,2.0
2016-03-06,2016-03-17,11,-4.7,2.3,-0.7,4.2,-7.7,-2.2,-5.5,7.0,-13.0,1.0,3,,0.0,1.8
2016-03-06,2016-03-18,12,-4.3,2.7,0.3,4.5,-7.7,-2.3,-5.0,6.7,-12.0,1.3,3,,0.0,2.2
2016-03-06,2016-03-19,13,-3.3,4.0,1.3,5.3,-6.3,-1.0,-3.0,8.7,-13.0,1.5,3,,0.5,3.5
2016-03-06,2016-03-20,14,-4.5,-0.9,-3.5,1.3,-8.0,-2.5,-6.5,4.8,-11.5,2.0,3,,0.5,2.3
2016-03-13,2016-03-13,0,-4.3,3.0,3.0,3.3,-5.0,-4.0,2.5,4.3,-6.3,-3.0,1,,0.0,0.3
2016-03-13,2016-03-14,1,-1.3,6.7,6.7,6.7,-1.7,-1.0,6.2,7.2,-4.0,0.0,1,,0.0,0.1
2016-03-13,2016-03-15,2,-3.5,5.0,4.5,5.3,-5.3,-2.8,3.5,6.0,-7.2,1.0,1,,0.0,0.0
2016-03-13,2016-03-16,3,0.0,8.2,7.8,8.8,-0.5,0.3,6.5,9.6,-2.3,1.3,2,,0.0,0.0
2016-03-13,2016-03-17,4,-1.0,7.8,6.8,8.2,-3.2,-0.3,4.2,9.2,-6.5,0.7,2,,0.0,0.4
2016-03-13,2016-03-18,5,-5.0,3.5,2.5,5.2,-6.3,-4.0,-1.8,8.6,-8.7,0.2,3,,0.0,1.2
2016-03-13,2016-03-19,6,-6.8,1.6,1.0,2.5,-8.2,-6.0,-1.8,6.8,-12.6,-3.2,3,,0.0,0.8
2016-03-13,2016-03-20,7,-8.4,2.5,1.8,3.3,-9.5,-5.9,0.2,9.6,-13.0,1.8,3,,0.0,3.1
2016-03-13,2016-03-21,8,-4.5,3.8,2.2,5.3,-7.8,-2.0,-1.0,11.2,-15.0,0.2,3,,0.7,4.2
2016-03-13,2016-03-22,9,-4.3,3.0,1.0,5.7,-7.3,-1.3,0.0,10.3,-14.0,1.5,3,,0.0,1.5
2016-03-13,2016-03-23,10,-5.0,4.0,2.2,6.0,-7.8,-1.7,1.0,9.8,-12.7,2.0,3,,0.6,4.2
2016-03-13,2016-03-24,11,-2.5,5.0,3.3,6.0,-5.8,-0.5,1.0,9.0,-12.2,2.0,3,,0.6,5.4
2016-03-13,2016-03-25,12,-2.8,5.0,3.7,6.3,-4.5,-0.8,1.5,9.7,-12.2,1.4,3,,0.7,4.6
2016-03-13,2016-03-26,13,-4.0,5.5,3.8,6.5,-6.0,-1.3,1.2,8.8,-8.7,1.3,3,,0.0,2.9
2016-03-13,2016-03-27,14,-1.7,1.0,-1.0,2.0,-3.3,-0.3,-3.0,7.5,-6.0,2.3,3,,0.5,4.5
2016-03-14,2016-03-14,0,0.2,7.2,7.2,7.2,-0.2,0.2,6.2,7.7,-2.0,0.5,1,,0.0,0.2
2016-03-14,2016-03-15,1,-1.5,5.2,5.2,5.7,-2.7,-0.7,4.2,6.2,-4.5,0.3,1,,0.0,0.0
2016-03-14,2016-03-16,2,0.5,8.8,8.1,9.1,0.2,0.8,7.5,10.3,-0.5,1.2,1,,0.0,0.0
2016-03-14,2016-03-17,3,-2.5,7.0,6.0,7.6,-3.8,-0.8,4.0,9.3,-6.2,1.0,2,,0.0,1.3
2016-03-14,2016-03-18,4,-6.8,1.0,0.3,1.6,-7.5,-6.2,-1.4,5.0,-9.8,-4.8,3,,0.0,0.7
2016-03-14,2016-03-19,5,-8.2,1.3,0.6,2.2,-9.2,-7.5,-1.5,5.3,-10.8,-6.0,3,,0.0,1.2
2016-03-14,2016-03-20,6,-8.7,2.0,1.0,3.3,-9.7,-6.7,-0.3,8.3,-13.3,-0.5,3,,0.5,3.5
2016-03-14,2016-03-21,7,-8.7,2.0,1.0,2.8,-10.0,-6.4,-0.5,8.0,-15.2,0.5,3,,0.6,4.6
2016-03-14,2016-03-22,8,-7.8,1.5,0.5,2.8,-10.2,-5.4,-0.3,8.0,-15.3,-0.8,3,,0.0,5.5
2016-03-14,2016-03-23,9,-6.8,2.3,1.0,4.0,-9.2,-3.8,-1.3,10.3,-15.0,1.2,3,,0.6,4.8
2016-03-14,2016-03-24,10,-5.2,4.0,2.3,5.3,-7.8,-2.5,-0.5,8.6,-12.8,1.7,3,,0.5,4.4
2016-03-14,2016-03-25,11,-4.5,4.5,3.2,5.8,-7.0,-1.5,0.2,10.5,-13.0,2.2,3,,0.0,6.4
2016-03-14,2016-03-26,12,-3.7,5.0,4.0,6.6,-5.7,-1.7,1.5,10.6,-10.5,3.8,3,,0.8,4.4
2016-03-14,2016-03-27,13,-2.7,6.0,4.8,7.6,-5.0,-1.0,2.7,11.3,-10.3,4.2,3,,0.0,3.6
2016-03-14,2016-03-28,14,-2.0,0.8,-0.5,1.5,-4.0,-1.0,-1.5,3.8,-6.5,0.3,2,,0.5,2.6
2016-03-26,2016-03-26,0,1.0,4.0,4.0,4.0,0.7,1.0,3.5,5.0,0.3,1.5,1,,1.4,1.5
2016-03-26,2016-03-27,1,1.7,6.5,6.0,7.0,1.3,2.0,5.0,8.0,0.3,2.3,1,,0.0,0.0
2016-03-26,2016-03-28,2,1.3,8.2,8.2,8.7,0.3,1.8,7.2,9.2,-1.5,2.5,1,,0.0,0.0
2016-03-26,2016-03-29,3,0.5,8.0,7.5,8.7,-0.4,1.3,5.7,9.7,-1.9,2.3,2,,0.0,0.8
2016-03-26,2016-03-30,4,1.0,7.0,6.0,7.7,0.0,1.7,4.0,9.2,-1.8,2.8,2,,1.5,3.5
2016-03-26,2016-03-31,5,0.8,7.5,6.2,8.2,-0.2,1.5,3.3,9.7,-1.8,3.2,3,,0.9,5.4
2016-03-26,2016-04-01,6,-0.5,8.2,6.5,8.8,-1.5,0.5,3.8,10.8,-2.8,2.2,3,,0.0,4.4
