lead,n,fc_mae_precip,cl_mae_precip,fc_bias_precip,cov_precip_range,rain_accuracy,clim_rain_accuracy,pod,far,csi,skill_precip
0,71,0.8000000000000002,2.4242548626200535,0.10845070422535219,0.7323943661971831,0.7887323943661971,0.6338028169014085,0.8484848484848485,0.2631578947368421,0.6511627906976745,0.6700016931654673
1,71,1.080281690140845,3.3710850958788585,0.06901408450704227,0.7605633802816901,0.8732394366197183,0.5633802816901409,1.0,0.20930232558139536,0.7906976744186046,0.6795448173463535
2,71,1.3190140845070422,3.920748601387433,-0.1894366197183098,0.704225352112676,0.8309859154929577,0.6056338028169014,0.9166666666666666,0.21428571428571427,0.7333333333333333,0.6635810610146533
3,71,1.4978873239436619,2.2448348856598357,0.4246478873239436,0.7323943661971831,0.7183098591549296,0.6197183098591549,0.875,0.36363636363636365,0.5833333333333334,0.33274053538980874
4,71,1.6781690140845071,2.0963813896811887,0.5964788732394366,0.7323943661971831,0.6619718309859155,0.6197183098591549,0.8823529411764706,0.4,0.5555555555555556,0.1994925053500317
5,71,2.029577464788732,2.0687787458461497,1.0690140845070426,0.7605633802816901,0.6901408450704225,0.5070422535211268,0.9210526315789473,0.35185185185185186,0.6140350877192983,0.01894899642416037
6,71,2.1718309859154927,2.3602943719593616,0.29014084507042254,0.7887323943661971,0.647887323943662,0.5070422535211268,0.8378378378378378,0.38,0.5535714285714286,0.07984740729073503
7,71,2.7147887323943665,2.9172644513992605,-0.19788732394366207,0.7183098591549296,0.5774647887323944,0.4788732394366197,0.7692307692307693,0.4117647058823529,0.5,0.06940602142112173
8,71,2.564084507042254,2.4540491064937746,0.3401408450704226,0.8028169014084507,0.676056338028169,0.5492957746478874,0.8478260869565217,0.2909090909090909,0.6290322580645161,-0.04483830427733082
9,71,3.421830985915493,3.1714943959461066,-0.2105633802816902,0.704225352112676,0.5211267605633803,0.6056338028169014,0.8205128205128205,0.4576271186440678,0.48484848484848486,-0.07893332250227969
10,71,2.620422535211268,2.2171506215671206,0.9964788732394362,0.6901408450704225,0.4507042253521127,0.49295774647887325,0.7666666666666667,0.5818181818181818,0.3709677419354839,-0.18188746841164427
11,71,2.2154929577464793,2.1297869071460624,-0.15915492957746485,0.7464788732394366,0.4647887323943662,0.676056338028169,0.5111111111111111,0.41025641025641024,0.3770491803278688,-0.04024160835661439
12,71,2.653521126760563,2.292057648923846,-0.3070422535211268,0.704225352112676,0.5492957746478874,0.6197183098591549,0.5853658536585366,0.38461538461538464,0.42857142857142855,-0.15770261188955237
13,70,2.5935714285714284,2.517594273640192,-0.4650000000000001,0.7714285714285715,0.45714285714285713,0.6142857142857143,0.5142857142857142,0.5384615384615384,0.32142857142857145,-0.03017847463617751
14,70,3.2899999999999996,2.92088917941469,-1.3442857142857143,0.6714285714285714,0.44285714285714284,0.5857142857142857,0.46511627906976744,0.4444444444444444,0.3389830508474576,-0.12636933410095175
