lead,n,fc_mae_tmax,cl_mae_tmax,fc_mae_tmin,cl_mae_tmin,fc_bias_tmax,fc_bias_tmin,skill_tmax,skill_tmin
0,71,1.284507042253521,3.10756849790049,1.0676056338028166,3.239491371583927,0.8647887323943664,-0.7014084507042254,0.5866520583146118,0.6704403527147479
1,71,1.447887323943662,3.0257195515193502,1.1309859154929573,3.225602824963992,0.9183098591549296,-0.7253521126760565,0.5214733886302805,0.6493722330784533
2,71,1.63943661971831,2.9695253918895768,1.3183098591549294,3.0936261949541626,1.1633802816901406,-0.9492957746478872,0.44791291423337554,0.5738625884067217
3,71,1.580281690140845,2.933191477648218,1.2408450704225351,3.2574128409037857,0.876056338028169,-0.756338028169014,0.46124155133305944,0.6190703693308164
4,71,1.7154929577464786,2.6597394065804525,1.4816901408450704,3.4778878638687494,1.0,-0.5577464788732396,0.3550146478628007,0.5739683972453151
5,71,1.7676056338028168,2.756702059398236,1.704225352112676,2.985038225244463,0.9535211267605634,-0.9239436619718309,0.3587969988353875,0.42907754490376526
6,71,2.0887323943661973,2.922408348414385,2.019718309859154,3.116114613644795,0.9056338028169014,-1.3521126760563378,0.2852701794738973,0.3518472327637622
7,71,2.050704225352112,2.541978322929028,2.188732394366197,3.0576165160571596,0.8478873239436621,-1.3577464788732396,0.19326447166978145,0.28417040434207275
8,71,2.4056338028169013,2.6218998897369117,2.4830985915492954,2.8592339864472662,0.6253521126760562,-1.7281690140845072,0.08248449445631234,0.13155110658338842
9,71,2.6225352112676057,2.711109850355323,2.45774647887324,2.9001974964449815,0.6338028169014086,-1.2323943661971835,0.032670988627077846,0.1525589268020855
10,71,2.4676056338028167,2.3064009565216805,2.4915492957746483,2.3991662668875944,1.2619718309859151,-1.280281690140845,-0.06989447208877841,-0.03850630536202937
11,71,3.119718309859155,2.9554313431929127,3.0098591549295777,2.8678955423070107,1.1140845070422534,-1.5140845070422535,-0.05558815197809808,-0.04950097049502977
12,71,2.994366197183099,2.8596138368673576,3.3084507042253524,3.2235667479178542,1.180281690140845,-1.7450704225352114,-0.04712257248809504,-0.02633230919208529
13,70,2.7385714285714284,2.777225082740389,3.0471428571428567,3.145731146970943,1.227142857142857,-1.5214285714285714,0.01391808478512635,0.031340341949761985
14,70,2.7757142857142845,2.840985543934523,3.1671428571428573,3.091915558364538,0.49285714285714266,-1.4585714285714289,0.022974864606260303,-0.024330321238821506
